sentence,label
"Photosynthesis is the process by which green plants convert sunlight into energy.",1
"The capital of France is Paris.",1
"Newton’s Second Law states that Force equals Mass times Acceleration.",1
"Water boils at 100 degrees Celsius under standard atmospheric conditions.",1
"DNA stands for Deoxyribonucleic Acid.",1
"The mitochondria generate most of the cell’s supply of ATP.",1
"The Treaty of Versailles was signed in 1919.",1
"E = mc² is Einstein’s mass-energy equivalence formula.",1
"Inertia is the resistance of any physical object to a change in its velocity.",1
"The Battle of Hastings occurred in 1066.",1
"A prime number is a natural number greater than 1 that has no positive divisors other than 1 and itself.",1
"The heart pumps oxygenated blood throughout the body.",1
"The Pacific Ocean is the largest ocean on Earth.",1
"The speed of light is approximately 299,792 kilometers per second.",1
"Chlorophyll gives plants their green color.",1
"The cell is the basic structural and functional unit of all living organisms.",1
"Electrons orbit the nucleus of an atom.",1
"Gravity is a force that attracts two bodies toward each other.",1
"An isosceles triangle has two equal sides.",1
"The boiling point of ethanol is 78.37 °C.",1
"The French Revolution began in 1789.",1
"A noun is a word that functions as the name of a specific object or set of objects.",1
"An adjective modifies a noun or pronoun.",1
"The Moon affects ocean tides due to gravitational pull.",1
"Water is composed of two hydrogen atoms and one oxygen atom.",1
"Mount Everest is the highest mountain above sea level.",1
"Respiration is the process of breaking down food to release energy.",1
"The square root of 64 is 8.",1
"World War II ended in 1945.",1
"A democracy is a system of government by the whole population.",1
"A polygon with four sides is called a quadrilateral.",1
"Friction opposes the relative motion of two surfaces in contact.",1
"The Renaissance was a cultural movement that began in Italy during the 14th century.",1
"An ecosystem consists of all the living and nonliving things in a particular area.",1
"Red blood cells carry oxygen from the lungs to the rest of the body.",1
"The sun is classified as a yellow dwarf star.",1
"The Amazon Rainforest is the largest tropical rainforest in the world.",1
"An antonym is a word that means the opposite of another word.",1
"The Pythagorean Theorem is a² + b² = c².",1
"Photosynthesis occurs in the chloroplasts of plant cells.",1
"A verb expresses an action, occurrence, or state of being.",1
"The water cycle consists of evaporation, condensation, and precipitation.",1
"A molecule is a group of atoms bonded together.",1
"The equator is an imaginary line around the middle of the Earth.",1
"A habitat is the natural home of an organism.",1
"The process of cell division is called mitosis.",1
"The Great Wall of China is approximately 13,000 miles long.",1
"The periodic table arranges elements by increasing atomic number.",1
"A haiku is a three-line poem with a 5-7-5 syllable structure.",1
"The Statue of Liberty was a gift from France to the United States.",1
"The circulatory system transports nutrients and oxygen to cells.",1
"In the next chapter, we will explore these themes in more detail.",0
"Let’s begin by understanding the scope of this course.",0
"As discussed earlier, this topic is widely debated.",0
"These concepts may be useful in some real-world cases.",0
"Thank you for reading this section.",0
"Let us consider this example hypothetically.",0
"This text aims to provide a comprehensive overview.",0
"You can find further reading in the bibliography.",0
"This section highlights our learning journey.",0
"It is important to stay curious and ask questions.",0
"Think about how this applies to your experience.",0
"Let’s take a break and revisit the previous concept.",0
"In conclusion, we have covered many ideas.",0
"Hopefully, this chapter has been enlightening.",0
"We encourage you to reflect on what you’ve learned.",0
"Your instructor may ask you to explain this.",0
"This idea will be clearer with practice.",0
"Now that we have seen the basics, let's move on.",0
"This summary outlines the chapter’s structure.",0
"It is not necessary to memorize this part.",0
"We will now discuss this further.",0
"The upcoming sections will present case studies.",0
"As you read, try to identify key points.",0
"This topic can be confusing at first.",0
